species,female_id,nest_id,Day.Obs.Started,Day.Obs.Ended,Days.Observed,nest_height_m,picture,nest_diameter_cm,nest_weight,cup_diameter_cm,cup_diameter_cm.1,lining_weight,lining_material,grasses_weight,twigs_weight,bark_leaves_weight,other_weight,other_material_notes,insects_present,female_id.1,nest_fate,failure_cause,attempt_number,territory,grid,plot,veg_code,veg_data,nest_description,clutch_date,hatch_date,fledge_fail_date
OCWA,AA,05-019,NA,NA,NA,1,Y,13.5,15.85,n/a,n/a,3.41,Grass,2.7,0.57,7.26,5.32,lots of lichen,no,AA,Failed,,1,,E.5-1,BRC1,RHUS,RHUS,in middle of clump of RHUS,,,
OCWA,AA,05-040,3/24/2005,4/6/2005,13,1.5,Y,8.8,6.84,3.2,n/a,3.72,Grass,4.52,0.35,0.51,1.46,Lichen,No,AA,Failed,Predation,2,,F2,BRC1,,grass,in sage clump on side of gulley,,4/3/2005,5/5/2005
OCWA,ABK/GW,05-124,5/28/2005,6/16/2005,19,1.6,Y,12.9,24.81,n/a,n/a,3.01,Grass,4.87,4.08,2.35,13.51,Lichen,No,ABK/GW,Fledged,,NA,,A.5-1,BRC2,BAPI,BAPI,obvious nest in streambed,,,
OCWA,ABK/GY,05-058,NA,NA,NA,0.1,Y,11.5,15.56,n/a,n/a,2.65,Grass,3.48,1.8,3.28,7,"Lichen, seeds, ",no,ABK/GY,Failed,Predation,1,,A5,BRC1,,maidenhair,in maidenghair clump below toyon,,,
OCWA,ABK/GY,05-075,4/17/2005,6/2/2005,46,0,Y,7.2,4.76,n/a,n/a,1.87,Grass,2.4,0.44,1.14,0.78,"Roots, feces, lichen",no,ABK/GY,Fledged,,2,,A4.5,BRC1,DEUNKN,dead leaves,deep in ground on slope with small amount of veg cover,,,
OCWA,ABK/OW,05-052,NA,NA,NA,1.2,Y,11.5,20.53,4.9,2.2,8.55,Grass,11.47,5.74,2.3,1.02,"Oak seeds, lichen, ",no,ABK/OW,Failed,Predation,1,,B2.5,BRC1,,,in dense sage,,,
OCWA,ABK/OW,05-079,4/18/2005,6/1/2005,44,3.5,Y,12.7,20.42,4,0.9,4.57,Grass,4.87,5.95,1.84,7.76,"Oak seeds, lichen, ",No,ABK/OW,Fledged,,2,,A.5-2,BRC1,DEUNKN,dead leaves,in hanging dead leaves,,4/30/2005,5/13/2005
OCWA,ABK/WO,05-107,NA,NA,NA,1,Y,,NA,,,,,NA,NA,NA,NA,,,ABK/WO,Failed,Predation,2,,,BRC1,RHIN,RHIN,on top of 05-16!!!,,,
OCWA,ABU/OBK,05-066,4/7/2005,4/10/2005,3,1.5,Y,11.9,13.93,4.5,1.6,3.66,Grass,5.07,1.8,6.59,0.47,"Lichen, roots, flowers, insects","Yes, possible parasites?",ABU/OBK,Failed,Predation,1,,H5.5,BRC1,RHIN,RHIN,,,,
OCWA,ABU/OBK,05-084,4/20/2005,5/16/2005,26,1.5,Y,10.9,16.47,n/a,n/a,5.59,Grass,6.81,2.96,3.37,3.33,"misc. plant parts, lichen",No,ABU/OBK,Fledged,,2,,H.5-5,BRC1,,Honeysuckle,,,,
OCWA,AG/OO,05-009,NA,NA,NA,1,Y,14.6,29.17,n/a,n/a,8.01,Grass,11.72,3.72,13.25,0.48,misc. plant parts,no,AG/OO,Failed,,1,,B.5-2,BRC2,,,"w. of B.5-2, up from large p oak nest in old spot",3/16/2005,3/29/2005,4/4/2005
OCWA,AG/OO,05-085,4/22/2005,5/21/2005,29,3.5,Y,9.4,12.83,n/a,n/a,6.65,Grass,8.13,1.09,3.21,0.4,"misc. plant parts, lichen, seed pod, possible parasites","Yes, possible parasites?",AG/OO,Fledged,,2,,B.5-2,BRC2,HEAR,HEAR,,,,
OCWA,AG/OW,04-048,4/6/2004,4/29/2004,23,0,Y,11.5,18.33,4.5,3.7,4.62,Grass,6.96,0,5.41,5.96,"lotsa stems, flowers, seeds",no,AG/OW,Fledged,,NA,,D.5-3,BRC1,,maidenhair,nest in creek wall ~1m up on wall,,4/11/2004,
OCWA,AG/RBK,05-023,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,AG/RBK,Failed,,NA,,E-2.5,BRC1,,ground,supported by oak roots in ravine wall,,,
OCWA,AG/WR,05-100,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,AG/WR,Failed,,NA,,D-3.5,BRC1,,grass,on lip of streambank,,,
OCWA,AG/YR,05-032,NA,NA,NA,0.4,Y,,NA,,,,,NA,NA,NA,NA,,,AG/YR,Failed,Predation,NA,,I-4.5,BRC1,,oak,in the oak bush,3/30/2005,,
OCWA,AO/GG,04-031,4/1/2004,5/4/2004,33,3.7,Y,n/a,48.17,n/a,n/a,5.45,Grass,18.85,17.02,8.07,4.23,"moss, lichen",no,AO/GG,Fledged,,NA,,B.5-2,BRC2,QUPA,QUPA,3.5 to 4m,,,
OCWA,AO/GW,05-120,NA,NA,NA,1.8,Y,,NA,,,,,NA,NA,NA,NA,,,AO/GW,Failed,Abandoned,NA,,,BRC1,DERHIN,dead RHIN,looks like dead leaf clump,,,
OCWA,AR/BKO,05-067,NA,NA,NA,0.3,Y,,NA,,,,,NA,NA,NA,NA,,,AR/BKO,Fledged,,NA,,E.5-1,BRC2,RHIN,"RHIN, LO",in tangle n side of road,,4/2/2005,4/17/2005
OCWA,AR/BO,04-057,NA,NA,NA,0.2,Y,9.3,10.96,n/a,n/a,3.51,Grass,6.17,2.94,1.28,0.57,"lichen, seed pods",,AR/BO,Failed,,1,,H5.5,BRC1,,Oak,,,,
OCWA,AR/BO,04-082,NA,NA,NA,1,Y,10.7,10.01,n/a,n/a,5.01,Grass,7.12,0.24,1.06,1.59,lichen,no,AR/BO,Failed,,2,,H.5-5,BRC1,RHIN,RHIN,,,,
OCWA,AR/BU,05-014,3/30/2005,5/13/2005,44,1.25,Y,13,45.02,3.7,1.2,3.5,Grass,3.98,14.93,6.35,19.76,"lots of lichen, rodent droppings",no,AR/BU,Fledged,,1,,G.5-5,BRC1,,,,,3/28/2005,
OCWA,AR/BU,05-130,6/5/2005,6/23/2005,18,2.5,Y,14,52.88,3.7,1.8,6.86,Grass,6.96,19.99,15.15,10.78,"Lichen, acorn top",No,AR/BU,Fledged,,2,,G.5-4,BRC1,QUPA,QUPA,,,,
OCWA,AR/GBU,05-088,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,AR/GBU,Failed,,2,,I-5.5,BRC1,FORM,FORM,,5/3/2005,,
OCWA,AR/WO,05-306,3/22/2005,4/12/2005,21,1.5,Y,8.17,9.53,3,0.7,4.25,Grass,6.66,0.06,2.81,0,None,No,AR/WO,Fledged,,NA,,,SC1,,,,3/22/2005,4/2/2005,4/12/2005
OCWA,AR/YBU,05-115,5/22/2005,6/2/2005,11,2.5,Y,9.1,18.04,n/a,n/a,3.45,Grass,5.52,1.18,1.83,9.51,Lichen,No,AR/YBU,Fledged,,NA,,WX4,BRC1,QUPA,QUPA,,,,
